Day,Hearing aid: (United States)
7/1/22,50
7/2/22,40
7/3/22,39
7/4/22,43
7/5/22,56
7/6/22,51
7/7/22,48
7/8/22,48
7/9/22,43
7/10/22,44
7/11/22,50
7/12/22,50
7/13/22,46
7/14/22,50
7/15/22,45
7/16/22,45
7/17/22,39
7/18/22,51
7/19/22,48
7/20/22,47
7/21/22,45
7/22/22,46
7/23/22,41
7/24/22,40
7/25/22,52
7/26/22,56
7/27/22,46
7/28/22,46
7/29/22,48
7/30/22,42
7/31/22,42
8/1/22,50
8/2/22,50
8/3/22,51
8/4/22,50
8/5/22,52
8/6/22,50
8/7/22,42
8/8/22,48
8/9/22,52
8/10/22,45
8/11/22,50
8/12/22,46
8/13/22,52
8/14/22,39
8/15/22,50
8/16/22,95
8/17/22,100
8/18/22,69
8/19/22,59
8/20/22,54
8/21/22,49
8/22/22,59
8/23/22,49
8/24/22,49
8/25/22,58
8/26/22,55
8/27/22,51
8/28/22,41
8/29/22,53
8/30/22,47
8/31/22,50
9/1/22,50