state,delta5day,delta30day
alabama,2.260034904,3.642756681
alaska,2.429906542,4.859813084
arizona,1.783783784,1.572676728
arkansas,3.194444444,1.00877193
california,1.673582296,1.814092954
colorado,2.482993197,2.264736298
connecticut,4.246575342,3
delaware,3.333333333,2.898550725
district of columbia,3.401360544,4.830917874
florida,1.634615385,1.647286822
georgia,1.219336219,1.48115688
hawaii,2.128851541,2.86252354
idaho,0.964912281,1.242937853
illinois,2.958937198,2.287581699
indiana,1.483333333,1.823770492
iowa,2.633333333,1.259968102
kansas,2.920792079,2.140266022
kentucky,8.511904762,2.115384615
louisiana,0.865209472,1.334269663
maine,0.939922481,1.31614654
maryland,1.54109589,1.535836177
massachusetts,1.884057971,1.407579273
michigan,2.932816537,2.214634146
minnesota,2.913279133,2.37045204
mississippi,1.079812207,0.978723404
missouri,2.669902913,2.30125523
montana,0.612535613,1.075
nebraska,1.944444444,3.06010929
nevada,1.081871345,1.541666667
new hampshire,0.871794872,2.575757576
new jersey,3.230088496,2.234693878
new mexico,0.767973856,1.124401914
new york,1.503267974,1.445404556
north carolina,2.081031308,1.944922547
north dakota,1.155913978,1.155913978
ohio,2.264705882,2.006950478
oklahoma,1.111111111,0.648854962
oregon,0.484972678,0.801354402
pennsylvania,2.263814617,2.280071813
rhode island,1.444444444,0.802469136
south carolina,3.162393162,2.379421222
south dakota,1.388888889,1.002506266
tennessee,2.034120735,1.705170517
texas,1.610062893,1.852387844
utah,2.037037037,1.725490196
vermont,0.591397849,0.705128205
virginia,4.588744589,2.337375965
washington,2.222222222,2.241014799
west virginia,0.36637931,0.610047847
wisconsin,2.00203252,1.993927126
wyoming,0,0
US,1.873219373,1.830201809